review_id,date,year,month,quarter,company,category,rating,review_text,true_sentiment,primary_topic,all_topics,is_priority,priority_signals,word_count,char_count
REV00001,2023-04-03,2023,4,Q2,Decathlon UK,Sports & Outdoors,4,Brilliant experience shopping here. Product quality is amazing and delivery was the very next day.,positive,delivery,delivery|quality,True,health_risk,15,98
REV00002,2022-06-28,2022,6,Q2,ASOS,Clothing & Fashion,3,Standard experience. Item is acceptable. Would have given five stars if delivery had been quicker.,neutral,delivery,delivery,False,,15,98
REV00003,2023-03-24,2023,3,Q1,Book Depository,Books & Media,4,"Absolutely brilliant product, arrived next day and works perfectly. Would definitely recommend to anyone.",positive,delivery,delivery,True,health_risk,14,105
REV00004,2024-05-09,2024,5,Q2,John Lewis,Clothing & Fashion,1,Absolutely appalling service. Waited three weeks and still no delivery. No response from customer service.,negative,delivery,delivery|customer_service,True,health_risk,15,106
REV00005,2022-11-23,2022,11,Q4,Boohoo,Clothing & Fashion,1,"Dreadful experience. Waited a month, chased them constantly, eventually received a badly damaged item.",negative,packaging,packaging,False,,14,102
REV00006,2023-03-17,2023,3,Q1,GO Outdoors,Sports & Outdoors,4,Brilliant experience shopping here. Product quality is amazing and delivery was the very next day.,positive,delivery,delivery|quality,True,health_risk,15,98
REV00007,2024-01-06,2024,1,Q1,Dunelm,Home & Kitchen,4,Fantastic buy. The item is perfect and arrived well before the estimated delivery date. Very impressed.,positive,delivery,delivery,False,,16,103
REV00008,2022-09-13,2022,9,Q3,Argos,Home & Kitchen,5,Fantastic quality for the price. Delivery was super fast and packaging was excellent. Five stars from me.,positive,delivery,delivery|quality|price_value|packaging,False,,17,105
REV00009,2023-01-29,2023,1,Q1,Boots,Health & Beauty,1,Avoid this company at all costs. They take your money then completely ignore you. Reported to Trading Standards.,negative,price_value,price_value,True,legal_threat,18,112
REV00010,2022-06-13,2022,6,Q2,Decathlon UK,Sports & Outdoors,5,"Arrived quickly, well packaged, exactly as described. Customer service was also very helpful and friendly.",positive,delivery,delivery|customer_service|product_accuracy|packaging,False,,15,106
REV00011,2024-01-18,2024,1,Q1,ASOS,Clothing & Fashion,5,Brilliant experience shopping here. Product quality is amazing and delivery was the very next day.,positive,delivery,delivery|quality,True,health_risk,15,98
REV00012,2022-05-27,2022,5,Q2,Marks & Spencer,Clothing & Fashion,5,Exceptional service from start to finish. The product exceeded my expectations completely. Highly recommended.,positive,customer_service,customer_service,False,,14,110
REV00013,2024-08-04,2024,8,Q3,WHSmith,Books & Media,1,Shocking quality. Fell apart immediately. Photos on the listing are clearly misleading. Not fit for purpose.,negative,quality,quality|product_accuracy,True,safety_hazard,16,108
REV00014,2023-10-27,2023,10,Q4,LookFantastic,Health & Beauty,1,"Appalling. Order cancelled without notice, refund took three weeks, no apology whatsoever. Stay away.",negative,delivery,delivery|returns_refunds,False,,14,101
REV00015,2023-07-03,2023,7,Q3,Currys,Electronics,5,"Wonderful product, exactly as advertised. Delivered ahead of schedule. Customer service top notch.",positive,customer_service,customer_service|product_accuracy,False,,13,98
REV00016,2024-10-19,2024,10,Q4,Currys,Electronics,1,Absolutely furious. Product completely different to what was advertised. Refused to accept the return. Awful.,negative,returns_refunds,returns_refunds|product_accuracy,False,,15,109
REV00017,2023-05-21,2023,5,Q2,Superdrug,Health & Beauty,4,Brilliant experience shopping here. Product quality is amazing and delivery was the very next day.,positive,delivery,delivery|quality,True,health_risk,15,98
REV00018,2024-03-28,2024,3,Q1,Halfords,Sports & Outdoors,2,"Dreadful experience. Waited a month, chased them constantly, eventually received a badly damaged item.",negative,packaging,packaging,False,,14,102
REV00019,2022-07-06,2022,7,Q3,IKEA UK,Home & Kitchen,5,"Absolutely love this product. Easy to order, great communication, arrived perfectly packaged. Thank you.",positive,delivery,delivery|packaging,False,,14,104
REV00020,2022-05-11,2022,5,Q2,TechDirect UK,Electronics,5,Superb quality and great value. Delivery was prompt and the item was well packaged. Very pleased indeed.,positive,delivery,delivery|quality|price_value|packaging,False,,17,104
REV00021,2022-01-24,2022,1,Q1,Superdrug,Health & Beauty,1,"Zero stars if I could. Item arrived smashed, return label never came, now ignoring all contact. Disgusting.",negative,delivery,delivery|customer_service|returns_refunds|packaging,False,,17,107
REV00022,2023-07-01,2023,7,Q3,Decathlon UK,Sports & Outdoors,3,Average all round. Item works but feels cheaper than the price suggests. Delivery was acceptable.,neutral,delivery,delivery|price_value,False,,15,97
REV00023,2022-11-20,2022,11,Q4,Wiggle,Sports & Outdoors,5,"Really happy with this purchase. Great value, fast delivery and excellent build quality throughout.",positive,delivery,delivery|quality|price_value,False,,14,99
REV00024,2023-06-24,2023,6,Q2,Boots,Health & Beauty,3,Average all round. Item works but feels cheaper than the price suggests. Delivery was acceptable.,neutral,delivery,delivery|price_value,False,,15,97
REV00025,2024-11-05,2024,11,Q4,WHSmith,Books & Media,1,Product arrived damaged and the returns process is an absolute nightmare. Took over a month for a refund.,negative,delivery,delivery|returns_refunds|packaging,False,,18,105
REV00026,2024-12-22,2024,12,Q4,WHSmith,Books & Media,4,Very pleased with my order. The quality is outstanding and shipping was incredibly fast. Will return.,positive,delivery,delivery|returns_refunds|quality,True,health_risk,16,101
REV00027,2022-08-18,2022,8,Q3,Scan Computers,Electronics,4,"Five star experience. Product is exactly as shown, delivery was free and very fast. Would recommend.",positive,delivery,delivery|product_accuracy,False,,16,100
REV00028,2022-06-11,2022,6,Q2,Wayfair UK,Home & Kitchen,4,Fantastic quality for the price. Delivery was super fast and packaging was excellent. Five stars from me.,positive,delivery,delivery|quality|price_value|packaging,False,,17,105
REV00029,2022-09-20,2022,9,Q3,Ebuyer,Electronics,4,Top quality item at a very fair price. The seller went above and beyond. Will definitely shop again.,positive,quality,quality|price_value,True,health_risk,18,100
REV00030,2024-12-16,2024,12,Q4,GO Outdoors,Sports & Outdoors,1,Worst online shopping experience of my life. Wrong item sent twice and customer service is completely useless.,negative,customer_service,customer_service,False,,17,110
REV00031,2023-10-01,2023,10,Q4,Book Depository,Books & Media,4,Top quality item at a very fair price. The seller went above and beyond. Will definitely shop again.,positive,quality,quality|price_value,True,health_risk,18,100
REV00032,2022-09-05,2022,9,Q3,LookFantastic,Health & Beauty,2,Complete con. Item looks nothing like pictures. Cheap knock-off quality. Refused refund citing wear and tear.,negative,returns_refunds,returns_refunds|quality|product_accuracy|price_value,False,,16,109
REV00033,2023-04-17,2023,4,Q2,Next,Clothing & Fashion,4,"Wonderful product, exactly as advertised. Delivered ahead of schedule. Customer service top notch.",positive,customer_service,customer_service|product_accuracy,False,,13,98
REV00034,2023-04-14,2023,4,Q2,WHSmith,Books & Media,4,Really impressed with how quickly this arrived. The product is exactly as described and great quality.,positive,delivery,delivery|quality|product_accuracy,False,,16,102
REV00035,2023-05-03,2023,5,Q2,TechDirect UK,Electronics,5,Really impressed with how quickly this arrived. The product is exactly as described and great quality.,positive,delivery,delivery|quality|product_accuracy,False,,16,102
