review_id,date,year,month,quarter,company,category,rating,review_text,true_sentiment,primary_topic,all_topics,is_priority,priority_signals,word_count,char_count
REV00001,2023-04-03,2023,4,Q2,Decathlon UK,Sports & Outdoors,4,Brilliant experience shopping here. Product quality is amazing and delivery was the very next day.,positive,delivery,delivery|quality,True,health_risk,15,98
REV00003,2023-03-24,2023,3,Q1,Book Depository,Books & Media,4,"Absolutely brilliant product, arrived next day and works perfectly. Would definitely recommend to anyone.",positive,delivery,delivery,True,health_risk,14,105
REV00004,2024-05-09,2024,5,Q2,John Lewis,Clothing & Fashion,1,Absolutely appalling service. Waited three weeks and still no delivery. No response from customer service.,negative,delivery,delivery|customer_service,True,health_risk,15,106
REV00006,2023-03-17,2023,3,Q1,GO Outdoors,Sports & Outdoors,4,Brilliant experience shopping here. Product quality is amazing and delivery was the very next day.,positive,delivery,delivery|quality,True,health_risk,15,98
REV00009,2023-01-29,2023,1,Q1,Boots,Health & Beauty,1,Avoid this company at all costs. They take your money then completely ignore you. Reported to Trading Standards.,negative,price_value,price_value,True,legal_threat,18,112
REV00011,2024-01-18,2024,1,Q1,ASOS,Clothing & Fashion,5,Brilliant experience shopping here. Product quality is amazing and delivery was the very next day.,positive,delivery,delivery|quality,True,health_risk,15,98
REV00013,2024-08-04,2024,8,Q3,WHSmith,Books & Media,1,Shocking quality. Fell apart immediately. Photos on the listing are clearly misleading. Not fit for purpose.,negative,quality,quality|product_accuracy,True,safety_hazard,16,108
REV00017,2023-05-21,2023,5,Q2,Superdrug,Health & Beauty,4,Brilliant experience shopping here. Product quality is amazing and delivery was the very next day.,positive,delivery,delivery|quality,True,health_risk,15,98
REV00026,2024-12-22,2024,12,Q4,WHSmith,Books & Media,4,Very pleased with my order. The quality is outstanding and shipping was incredibly fast. Will return.,positive,delivery,delivery|returns_refunds|quality,True,health_risk,16,101
REV00029,2022-09-20,2022,9,Q3,Ebuyer,Electronics,4,Top quality item at a very fair price. The seller went above and beyond. Will definitely shop again.,positive,quality,quality|price_value,True,health_risk,18,100
REV00031,2023-10-01,2023,10,Q4,Book Depository,Books & Media,4,Top quality item at a very fair price. The seller went above and beyond. Will definitely shop again.,positive,quality,quality|price_value,True,health_risk,18,100
REV00036,2024-08-26,2024,8,Q3,Robert Dyas,Home & Kitchen,4,Top quality item at a very fair price. The seller went above and beyond. Will definitely shop again.,positive,quality,quality|price_value,True,health_risk,18,100
REV00041,2022-10-15,2022,10,Q4,Next,Clothing & Fashion,5,Top quality item at a very fair price. The seller went above and beyond. Will definitely shop again.,positive,quality,quality|price_value,True,health_risk,18,100
REV00046,2024-09-23,2024,9,Q3,LookFantastic,Health & Beauty,2,Avoid this company at all costs. They take your money then completely ignore you. Reported to Trading Standards.,negative,price_value,price_value,True,legal_threat,18,112
REV00052,2023-06-19,2023,6,Q2,Waterstones,Books & Media,1,"Shockingly bad. Received someone else's order, took two weeks to fix, still waiting for correct item.",negative,delivery,delivery,True,safety_hazard|health_risk,16,101
REV00053,2022-09-26,2022,9,Q3,Marks & Spencer,Clothing & Fashion,5,Brilliant experience shopping here. Product quality is amazing and delivery was the very next day.,positive,delivery,delivery|quality,True,health_risk,15,98
REV00056,2023-05-16,2023,5,Q2,Amazon UK,Books & Media,4,Very pleased with my order. The quality is outstanding and shipping was incredibly fast. Will return.,positive,delivery,delivery|returns_refunds|quality,True,health_risk,16,101
REV00058,2022-08-01,2022,8,Q3,Foyles,Books & Media,5,Top quality item at a very fair price. The seller went above and beyond. Will definitely shop again.,positive,quality,quality|price_value,True,health_risk,18,100
REV00059,2022-11-15,2022,11,Q4,Marks & Spencer,Clothing & Fashion,5,Outstanding customer service when I had a query. They resolved everything within hours. Absolutely brilliant.,positive,customer_service,customer_service,True,health_risk,15,109
REV00072,2024-03-27,2024,3,Q1,IKEA UK,Home & Kitchen,4,"Absolutely brilliant product, arrived next day and works perfectly. Would definitely recommend to anyone.",positive,delivery,delivery,True,health_risk,14,105
